,artiss,juduls,chords
0,"
Chord Budi Arsa - Meme
","
Chord Budi Arsa - Meme
","

 Intro : C G F G CC AmSetata kebayang bayang manis kenyem bibihneF C Dm GDiastun sujati kenyel ane rasayangAm Em F CDiastun limane be ngancan tuaDm GNanging nu tetep sida ngelutinC AmYadiastu seduk basangne sing jaen megelekanF C Dm GYening pianakne konden karuan ngajengAm Em F CKadirasa pianak ne utamaDm GMangkin galah iraga ngewalesReffC EmKadi laksana angin tresnan meme ken rageF G CSing suwud suwud lakar nyayanginC EmAmpura mare ngidang ngae sewates menkenyemF G Cdumogi lantang tuwuh i memeDm EmKalsayangi mmeme anggon bukti tresnaneF G CSuksma suba nyayangin tiangMelodi : C Am F GC AmYadiastu seduk basangne sing jaen megelekanF C Dm GYening pianakne konden karuan ngajengAm Em F CKadirasa pianak ne utamaDm GMangkin galah iraga ngewalesReffC EmKadi laksana angin tresnan meme ken rageF G CSing suwud suwud lakar nyayanginC EmAmpura mare ngidang ngae sewates menkenyemF G Cdumogi lantang tuwuh i memeDm EmKal sayangin meme anggon bukti tresnaneF G CSuksma suba nyayangin tiangReffC EmKadi laksana angin tresnan meme ken rageF G CSing suwud suwud lakar nyayanginC EmAmpura mare ngidang ngae sewates menkenyemF G Cdumogi lantang tuwuh i memeDm EmKal sayangin meme anggon bukti tresnaneF G CSuksma suba nyayangin tiang




































"
1,"
Chord Mr Rayen - Kurenan Moglong
","
Chord Mr Rayen - Kurenan Moglong
","




Versi Kunci Dasar C

C G Am F GHu uu u Hu uu u Hu uu uC G Am F GHu uu u Hu uu u Hu uu uC G AmNgelah kurenan moglong seken demen hatin beliFApe buin care jani liu godaan disisiC G AmMekejang saling aksi gaya selera tinggiFNanging dimatan beli tetep iluh paling seksiC G Am F GHu uu u Hu uu u Hu uu uC G AmDiastun iluh moglong liu anake ngomongFBodin iluh e bongsor usak care gedebongC G AmBeli tusing perduli beli tusing ngerambangF GNe penting beli jani suba cinta matiReffC GNgelah kurenan moglong care ragan iluhAm FBagia hatin beli liang sekadi-kadiC GBeli sing kal kimud ape buin takutAm FTresna ne sujati tsing ulian nolih bodyC GBeli nerima iluh kekurangan iluhAm FYadiastun moglong ne penting beli demen huuuMelodi : Dm G C G Am G               F G C G Am               Dm Em F G CC G AmDiastun iluh moglong liu anake ngomongFBodin iluh e bongsor usak care gedebongC G AmBeli tusing perduli beli tusing ngerambangF GNe penting beli jani suba cinta mati
ReffC GNgelah kurenan moglong care ragan iluhAm FBagia hatin beli liang sekadi-kadiC GBeli sing kal kimud ape buin takutAm FTresna ne sujati tsing ulian nolih bodyC GBeli nerima iluh kekurangan iluhAm FYadiastun moglong ne penting beli demenReffC GNgelah kurenan moglong care ragan iluhAm FBagia hatin beli liang sekadi-kadiC G
Beli sing kal kimud ape buin takutAm FTresna ne sujati tsing ulian nolih bodyC GBeli nerima iluh kekurangan iluhAm FYadiastun moglong ne penting beli demenReffC GNgelah kurenan moglong care ragan iluhAm FBagia hatin beli liang sekadi-kadiC GBeli sing kal kimud ape buin takutAm FTresna ne sujati tsing ulian nolih bodyC GBeli nerima iluh kekurangan iluhAm FYadiastun moglong ne penting beli demen C G Am F GHu uu u Hu uu u Hu uu uC G Am F GHu uu u Hu uu u Hu uu u


sumber : https://bligembul.blogspot.com/




































"
2,"
Chord Raka Sidan - Ngudiang Gen Nyak
","
Chord Raka Sidan - Ngudiang Gen Nyak
","





Intro : G ~ Em ~ Am ~ D ~ [3x]       D           Guli gending kal orahang                            Dkel orahang ken iluh ane edotang           Gbeli pepojolan      Am            C         Gpepojalan beli sing bisa ngerayu                    Amdadi iluh tusing ngugu         D                    G  Dgending ene mula iluh ane katuju ~*)       D          Gbeli mula liu kuangan                               Duling goba uling harta beli kuangan               Gnanging kel etohang          Am         C            Guling tresna sinah beli lakar lebihan                   Amkrana beli suba mrasa           D                       Giluh bes jegeg mula tuah patut sayangangReff : -Bm     C iluh jegeg yening iluh enyak ken beli            D             G ngudyang dogen beli kel enyak        D kadi rasa manting baju manting clana                  D nerikin bajun iluhe        G beli enyak ~  -Bm    C iluh jegeg beli cager angggon kurenan        D           G da iluh sumenang saya        D kadi rasa gaen dapur gaen sumur                    D apa buin gaen di kasur        G beli enyak ~           C urusuan dapur urusan sumur       D apa buin urusan kasur             C     nyongcong sumur di kasur D      C       G beli paling manjur ~Song : G ~ Em ~ Am ~ D ~ [3x]*)       D          Gbeli mula liu kuangan                               Duling goba uling harta beli kuangan               Gnanging kel etohang          Am         C            Guling tresna sinah beli lakar lebihan                   Amkrana beli suba mrasa           D                       Giluh bes jegeg mula tuah patut sayangangReff : -Bm     C iluh jegeg yening iluh enyak ken beli            D             G ngudyang dogen beli kel enyak        D kadi rasa manting baju manting clana                  D nerikin bajun iluhe        G beli enyak ~  -Bm    C iluh jegeg beli cager angggon kurenan        D           G da iluh sumenang saya        D kadi rasa gaen dapur gaen sumur                    D apa buin gaen di kasur        G beli enyak ~           C urusuan dapur urusan sumur       D apa buin urusan kasur             C     nyongcong sumur di kasur D      C       G beli paling manjur ~Ontro : G ~ Em ~ Am ~ D ~ G




































"
3,"
Chord Yudi Kresna Ft Agustin - Kantong Bolong
","
Chord Yudi Kresna Ft Agustin - Kantong Bolong
","






Intro : C Am F Em Dm G            C Am F GC G DmUli dijumah ngaku megaeG CNeked dijalan beli singgah di tajenDm Am GDimulihne beli megedi mecekiDm F GKanti peteng beli mare nawang umah*C G DmAdi jegeg sayangan beliG CSuwud je amonto nguyutang pipis be ilangDm Am GKantonge puyung suba tusing misi pipisDm G CMiribang ento suba kecag dijalanReffAm FKantong beline bolong luh pipis beline ulung luhG CKeto dogen alasan beliAm FNgorang kantonge bolong luh ngorang pipise ilang luhG C-GUlian beli kalah mejudi
C AmKalah meceki kalah metajenF G CSebilang wai beli ngemogbogin tiangAm GAmpurayang ampurayangF G CAmpurayang beli suba mogbogin iluhC Am F Em Dm GC Am F Gkembali ke *kembali ke Reff




































"
4,"
Chord Budi Arsa - Rindu
","
Chord Budi Arsa - Rindu
","






*  

     G                         Em

Sire keh sane taen ngerasayang rindu

      C                         D
Kewale tusing taen sida ketekedang




**

Bm 
Sebet yening taenang

Em
sing bani yen nyambatang

C                           D
Ulian beli sekadi dui



***

   Am                   D
Yening beli ngejohin

        C                 Em 
takut pesan kilangan

       
C                  D                G
Yening paakin beli takut nyakitin


*

        G                           Em
Bli sadar boye beli ne arepang adi

       
C                             D 
Bli sadar solah beli ngae adi sing nyaman



**

Bm
Yen dadi ben ngelebang

Em
Yen dadi ben nyuudang

C                                D
Apang sing enu ade rasa 



***

           Am             D
Semengne beli rindu

          
C                        Em
Peteng bakat anggon keneh

       
C                  D               G
Apekeh side beli lakar ngelahang 


reff

         C      D   
 Bm     Em   

Kene sakitne nresnain adi 

C          D             G
Sing tawang tanggune

         C               D
Mirib paling melah

        
Bm                   Em
kanggoang adeng adeng jani

C          
D                G
Suud mengarepang adi 
     C              D
Ulian sakit kenehe

            
Bm         Em
Naeang rindu pedidi
       Am            D                  G
Ape buin rindu ne sing kewales....




































"
5,"
Chord D'go Vaspa - Tresna Kanti Mati
","
Chord D'go Vaspa - Tresna Kanti Mati
","





Into:
CDGDG (2x)

G
disaat tiang sedih
C
di waktu tiang bahagia
D G
beli nu tetep sayang ken tiang
G
disaat beli rapuh
C
di waktu beli emosi
D G
adi nu tetep di samping beli

Am D
pengidih beli ken adi
Am D
da kalina beli
C D G
beli takut pedidi

C
nyen nawang buin mani
D
tiang  mati ngalahin beli
G
diolas beli de sebet
D G
sedih ngelingin tiang
C
dikehidupan buin pidan
D
tiang nunas apang jak beli
G
sehidup semati
D Em
satya tiang nyayagin beli
C D
rasa bagia tiang
G
ngidang nampingin beli

*
G
disaat tiang rapuh
C
di waktu tiang emosi
D G
beli nu tetep nampingin tiang

Am D
pengidih tiang ken beli
Am D
da kalina tiang
C D G
tiang takut pedidi

C
nyen nawang buin mani
D
beli  mati ngalahin adi
G
diolas adi de sebet
D Em
sedih ngelingin beli
C
dikehidupan buin pidan
D
beli nunas apang jak adi
G
sehidup semati
D EM
satya beli nyayagin adi
C D
rasa bagia beli
G
ngidang nampingin adi

**
C
nyen nawang buin mani
D
tiang mati ngalahin beli
G
diolas beli de sebet
D Em
sedih ngelingin tiang
C
dikehidupan buin pidan
D
beli nunas apang jak adi
G
sehidup semati
D Em
satya beli nyayagin adi
C D
rasa bagia beli
G
ada disamping adi
D
hoo...oh.
G
ngidang nampingin beli
D
ho..ohh...
G
ngidang saling tresnain

sumber : https://iputu-dirga.blogspot.com 




































"
6,"
Chord Raka Sidan - Saling Gisi
","
Chord Raka Sidan - Saling Gisi
","




 

 

Intro : D A Em A D





D A

Kene suba aget e man numadi dadi anak muani ngelah tunangan jegeg gati

Em A D

Dugas nganggure ibi adi mepayas seksi aduh beli merta gati

D A

Dugas ento nyak pas umahe sepi misi lampune mati irage negak disisi

Em A D

Bli mai paekin jani mumpung umah tiang e sepi jalan jani saling gisi

A

Ngetug-ngetug bayun beline jani nepukin li.li.li.li

G A D

Liman adi belus mare gisi beli

A G A

Beli lan jani tiang suba mekita gati

D

Mekita mejek liman beli

D A

Adi ngindang buka kedis sesapi beli ngisi uli duri jit adine keme mai

A D

Rasane kadi mengipi laksanane ngajak beli dugas dibi saling gisi



D A Em A D



D A

Kene suba aget e man numadi dadi anak muani ngelah tunangan jegeg gati

Em A D

Dugas nganggure ibi adi mepayas seksi aduh beli merta gati

D A

Dugas ento nyak pas umahe sepi misi lampune mati i rage negak disisi

Em A D

Bli mai paekin jani mumpung umah tiang e sepi jalan jani saling gisi

A

Ngetug-ngetug bayun beline jani nepukin li.li.li.li

G A D

Liman adi belus mare gisi beli

A G A

Beli lan jani tiang suba mekita gati

D

Mekita mejek liman beli

D A

Adi ngindang buka kedis sesapi beli ngisi uli duri jit adine keme mai

A D

Rasane kadi mengipi laksanane ngajak beli dugas dibi saling gisi



A

Ngetug-ngetug bayun beline jani nepukin li.li.li.li

G A D

Liman adi belus mare gisi beli

A G A

Beli lan jani tiang suba mekita gati

D

Mekita mejek liman beli

D A

Adi ngindang buka kedis sesapi beli ngisi uli duri jit adine keme mai

A D

Rasane kadi mengipi laksanane ngajak beli dugas dibi saling gisi

 

sumber : https://chordlagubali-terbaru.blogspot.com/2019/05/kunci-gitar-dan-lirik-aa-raka-sidan.html 




































"
7,"
Kord Joni Agung ft Lempuyengan Crew - Ska Genjek SNI
","
Kord Joni Agung ft Lempuyengan Crew - Ska Genjek SNI
","


D A

Ngalih ane bagusan luh lascarya megatin tresna

A D

Ngalih ane gedenan iluh ngutang ane cenikan

D A

Ngalih ane lantangan iluh ngutang ane bontokan

A D

Buka sesenggake ngutang kandik iluh nuduk jaum



G D

Nguda jadi iluh-iluh buin mebading

A D

Tur nuturang iluh ditu tusing bagia

G D

Beli tusing ngidang nerima

Em A D

Wireh beli suba ngelah ane SNI



Genjek :  D G D Em A D



D A

Ngalih ane bagusan luh lascarya megatin tresna

A D

Ngalih ane gedenan iluh ngutang ane cenikan

D A

Ngalih ane lantangan iluh ngutang ane bontokan

A D

Buka sesenggake ngutang kandik iluh nuduk jaum



G D

Nguda jadi iluh-iluh buin mebading

A D

Tur nuturang iluh ditu tusing bagia

G D

Beli tusing ngidang nerima

Em A D

Wireh beli suba ngelah ane SNI



G D

Nguda jadi iluh-iluh buin mebading

A D

Tur nuturang iluh ditu tusing bagia

G D

Beli tusing ngidang nerima

Em A D

Wireh beli suba ngelah ane SNI



sumber : https://gitarchordlirik.blogspot.com




































"
8,"
Chord Matanai Band - Metajen
","
Chord Matanai Band - Metajen
","








G                                              D
Adi luh ayu pekapahin nyebengin beli



G                                              D

Adi luh ayu pekapahin nyebengin beli 

Em                      D                               G

Sai ngambul ngombres nombang metajen

D                    G                                   Am



De ngugul nak demen, men kadung mecelep

D                    G                           D                G

Lepihang utahang tileh, lengeh beli bareng gelahang

G                                                  D

Dimenange ape tagih dong raosang  

G                                                  D

Dimenange ape tagih dong raosang  

Em                      D                     G

Pipis liu mepunduh telahne aluh

D             G                                             Am

Utang ngeden-ngedenan, nganti tunggu tanggal main

                     D        G                             D            

Intip je sertifikatne, tanah carik payu mekapling


                     

Melodi Genjek

G D 2x

Em D G

D G Am

D G D G





G                                              D
Adi luh ayu pekapahin nyebengin beli


G                                              D

Adi luh ayu pekapahin nyebengin beli 

Em                      D                               G

Sai ngambul ngombres nombang metajen

D                    G                                   Am



De ngugul nak demen, men kadung mecelep

D                    G                           D                G

Lepihang utahang tileh, lengeh beli bareng gelahang

G                                                  D

Dimenange ape tagih dong raosang  

G                                                  D

Dimenange ape tagih dong raosang  

Em                      D                     G

Pipis liu mepunduh telahne aluh

D             G                                             Am

Utang ngeden-ngedenan, nganti tunggu tanggal main

                     D        G                             D            

Intip je sertifikatne, tanah carik payu mekapling





































"
9,"
Kord D'go Vaspa - Ketut Dalam Proses
","
Kord D'go Vaspa - Ketut Dalam Proses
","






D Cm Bm A   G F#m Em A

Putu jegeg pianak bapa putu ne paling kelihan jani

D Cm Bm A   G F#m Em A

Kadek bagus ne paling nakal selegan kadek malu melajah

D Cm Bm A   G F#m Em A

Komang cenik ne paling manja kangguang malu komang mesingal



G A D

Bapak sayang jak putu

G A D

Bapa sayang jak kadek

G A Bm

Bapa sayang jak komang

G A D

Bapak sayang makejang



Bm A G A D

Astungkara ida hyang widi ngicenin bapak rahayu

Bm A G..... A

Selantang tuwuh bapak lakar nyayangin putu kadek lan komang



G A D

Bapak sayang jak putu

G A D

Bapa sayang jak kadek

G A Bm

Bapa sayang jak komang

G A D

Bapak sayang makejang



G A D

Putu sayang jak bapak

G A D

Kadek sayang jak bapak

G A D

Komang sayang jak bapak

G A D

Bapak sayang mekejang



Bm A G A D

Astungkara ida hyang widi ngicenin bapak rahayu

Bm A G..... A

Selantang tuwuh bapak lakar nyayangin putu kadek lan komang



G A D

Bapak sayang jak putu

G A D

Bapa sayang jak kadek

G A Bm

Bapa sayang jak komang

G A D

Ketut nu dalam proses



G A D

Bapak sayang jak putu

G A D

Bapa sayang jak kadek

G A Bm

Bapa sayang jak komang

G A D

Ketut nu dalam proses

G A D

Ketut nu dalam proses

G A D

Ketut nu dalam proses




































"
