,artiss,juduls,chords
29,Nanoe Biroe,Nanoe Biroe Matan Iluhe Mobil,"Wo....yo…

[INTRO]
   C F G F (4x)

Mari bareng magending,
bareng Nanoe Biru,
matan I Luh e mobil

Woyoyoyo

C         F              G          F         C
Sabilang pesu ngajak I Luh, beli pasti cemburu
              F            G             F       C
Sabilang malali ngajak I Luh, tangkah beline kebus
      F   G       F        C
Matan I Luh e, muani mamobil
      F   G                      C
Ortan I Luh e, jeg suba pasti mobil

[INTRO]
   C F G F (2X)
Woyoyoyoyooo

C          F            G        F                  C
Yen jani pesu ngajak I Luh, I Luh pasti ngorang sibuk
                 F             G         F        C
Sing baange pesu jak Bapan I Luh, keto alasan I Luh
       F     G      F         C
Hobin I Luh e, menegakin mobil
   F     G      F               C
I Luh nagih, majemput baan mobil

[REFF]

          G      F             C
Matan I Luh e mobil Beli mara nawang
F         G       F              G
Matan I Luh e mobil Matan I Luh e mobil
F         G       F              G     C
Matan I Luh e mobil Pelih beli milih I Luh
F         G       F         Am
Matan I Luh e mobil U Yeah…

[INTERLUDE]
   C F G F (4x)

C          F            G        F                  C
Yen jani pesu ngajak I Luh, I Luh pasti ngorang sibuk
                 F             G         F        C
Sing baange pesu jak Bapan I Luh, keto alasan I Luh
       F     G      F         C
Hobin I Luh e, menegakin mobil
   F     G      F               C
I Luh nagih, majemput baan mobil

[REFF]

          G      F             C
Matan I Luh e mobil Beli mara nawang
F         G       F              G
Matan I Luh e mobil Matan I Luh e mobil
F         G       F              G     C
Matan I Luh e mobil Pelih beli milih I Luh
F         G       F         Am
Matan I Luh e mobil U Yeah…

F          G      F
Matan I Luh e mobil
F          G      F
Matan I Luh e mobil
F          G      F
Matan I Luh e mobil
F          G      F
Matan I Luh e mobil
F          G      F
Matan I Luh e mobil
F          G      F
Matan I Luh e mobil
F          G      F
Matan I Luh e mobil
F          G      F
Matan I Luh e mobil
F          G 
Matan I Luh e

          G      F             C
Matan I Luh e mobil Beli mara nawang
F         G       F              G
Matan I Luh e mobil Matan I Luh e mobil
F         G       F              G     C
Matan I Luh e mobil Pelih beli milih I Luh
F         G       F        Am
Matan I Luh e mobil U Yeah… "
184,Ary Kencana,Ary Kencana Baper,"Luh hatin beli
Dauh Gowa Lawah
Tuah anggon iluh pesinggahan

[INTRO]
E B C#m A
E B A
E B C#m A
E B A

     E            B      C#m G#m
Beli kenal ngajak ragan adine
     A                F#m       B
Yen itung-itung konden liwat abulan
      E           B     C#m G#m
Nguda aluh gati irage jadian
      A               B        E
Bawak satua ne jani rage metunangan

[INTERLUDE]
B C#m A

      E
Ternyata adi
     B          C#m G#m
Sube ngelah tunangan
        A
Nanging tunangan adi
    F#m             B
Joh ngoyong di rantauan

     E            B
Beli tuah anggon adi
            C#m G#m
Ngisi kekosongan
     A        B          E
Di saat adi butuh kehangatan

  A        B
Beli dini main hati
    G#m     C#m
Kebawa perasaan
  A                      B
Beli sakit, beli patah hati

[REFF]
E     B       C#m     G#m
Luh hatin beli dauh Gowa Lawah
A        G#m       F#m     B
Tuah anggon iluh pesinggahan

E       B      C#m        G#m
Luh tresnan luhe kapin dewek beli
A            G#m    F#m   E
Melaib ling penjara pelarian

  A           B
Beli skadi bintang film
         G#m            C#m
Nanging boya pemeran utama
A              B               E
Beli tuah dadi pemeran pengganti

[MELODI]
E B C#m A (4x)
B

      E
Ternyata adi
     B          C#m G#m
Sube ngelah tunangan
        A
Nanging tunangan adi
    F#m             B
Joh ngoyong di rantauan

     E            B
Beli tuah anggon adi
            C#m G#m
Ngisi kekosongan
     A        B          E
Di saat adi butuh kehangatan

  A        B
Beli dini main hati
    G#m     C#m
Kebawa perasaan
  A                      B
Beli sakit, beli patah hati

[REFF]
E     B       C#m     G#m
Luh hatin beli dauh Gowa Lawah
A        G#m       F#m     B
Tuah anggon iluh pesinggahan

E       B      C#m        G#m
Luh tresnan luhe kapin dewek beli
A            G#m    F#m   E
Melaib ling penjara pelarian

[REFF]
E     B       C#m     G#m
Luh hatin beli dauh Gowa Lawah
A        G#m       F#m     B
Tuah anggon iluh pesinggahan

E       B     C#m         G#m
Luh tresnan luhe kapin dewek beli
A           G#m     F#m   E
Melaib ling penjara pelarian

  A           B
Beli skadi bintang film
         G#m            C#m
Nanging boya pemeran utama
A              B               E
Beli tuah dadi pemeran pengganti

[OUTRO]
E B C#m A E"
1,Kis Band,Kis Band Fullmoon,"Intro : G

   G             G/F#
Angin malam menyapaku
   Em                C
Seiring waktu kucium bibirmu
   G        G/F#
Ada bintang dimatamu kau berbisik
       C
Jangan tinggalkan aku
          D    C        D            C
Pelan kau berkata malam ini aku milikmu

[REFF]

G                   G/F#
Masih ingatkah kamu saat kau rebah di bahuku
    Em                    C
Ku mainkan gitarku kau bernyanyi untukku
G                           G/F#
Fullmoon itu berlalu tapi ku ingin tetap denganmu
     Em                      C 
Akan slalu kutunggu fullmoon depan 
		  G		  G/F#
Semoga lagi bersamamu berada di dekatmu

Em		      C
Hal terindah di dalam hidupku
G		G/F#
Senyummu katakan sesuatu
Em		     C
Bahasa tubuhmu meyakinkanku
          D    C        D            C
Pelan kau berkata malam ini aku milikmu

[REFF]

G                   G/F#
Masih ingatkah kamu saat kau rebah di bahuku
    Em                    C
Ku mainkan gitarku kau bernyanyi untukku
G                           G/F#
Fullmoon itu berlalu tapi ku ingin tetap denganmu
     Em                      C 
Akan slalu kutunggu fullmoon depan 
		  G		  G/F#
Semoga lagi bersamamu berada di dekatmu

G/F#		     Em C
Semoga engkau ada waktu
Em      C	      G	      G/F#
Kita seakan terbang melewati awan
Em       C	      G  G/F#
Kita larut dan tenggelam
Em      C	    G          D
Mimpiku semua telah menjadi nyata

    C
And I will, will love you forever
Em    C
........I will always love you
Em    D
........Will loveyou forever

[INTERLUDE]
   G G/F# Em C (2x)

          D    C        D            C
Pelan kau berkata malam ini aku milikmu

[REFF]

G                        G/F#
Masih ingatkah kamu .. uuwoo...
   Em			    C
saat kau rebah di bahuku..uuuwoo...
   G			  G/F#
Fuulmoon itu berlalu.. uuuwoo...
    Em                           C
Tapi ku ingin tetap denganmu.. uuuwoo...

[REFF]

G                   G/F#
Masih ingatkah kamu saat kau rebah di bahuku
    Em                    C
Ku mainkan gitarku kau bernyanyi untukku
G                           G/F#
Fullmoon itu berlalu tapi ku ingin tetap denganmu
     Em                      C 
Akan slalu kutunggu fullmoon depan 

		  G G/F#
Semoga lagi bersamamu 
		     Em C
Semoga engkau ada waktu"
235,Leeyonk Sinatra,Leeyonk Sinatra LDR (Lelah Dilanda Rindu),"Intro : Bm E C#m F#m Bm E A
        Bm E C#m F#m Bm E
        A..

Bm       E
..gelut je aku
        C#m             F#m
mumpung ade disamping kamu
Bm       E
..diman je aku
      A
lamun rindu..

Bm         E
..ngorta jak aku
          C#m           F#m
tentang hari-hari terlewati
     Bm           E
rikala aku sing ade
             A
disamping kamu..

*)
Bm       E
..tetep dijaga
    C#m               F#m
komunikasi rage jak dadue
Bm   E
rikale rage
         A
kapah ketemu..

Bm       E
..kabar kabarin
     C#m             F#m
keadaan kamu ditu sayang
      Bm             E
apang aku selalu nawang
          A
keadaan kamu...

Reff
     D               E
kabarin je aku lewat SMS
      C#m                      F#m
kije kamu ngajak nyen ngudiang ditu
          Bm                  E
yen sing mampu nahan rindu dihati
       A
telpon aku..
           D                E
pang sing bedik bedik ade cemburu
    C#m               F#m
rikale irage kapah ketemu
       Bm       E
kisah kamu jak aku
           A
tetep sejalan...

Musik : Bm E C#m F#m Bm E A
        Bm E C#m F#m Bm E,
        A...

==Kembali ke : *), Reff [2x]

       Bm       E
kisah kamu jak aku
       Bm       E
kisah kamu jak aku
           A
tetep sejalan...

Outro : D E C#m F#m Bm E A [2x]"
191,Harmonia,Harmonia Lagu Untukmu,"G#          D#   Fm       D#
Telah ku tuliskan satu puisi terakhir
G#          D#     Fm        D#
Telah ku nyanyikan satu lagu tentang kita
         C#            D#         C#
Tapi maafkan ku khianati cinta dengan dirinya
                      D#       G#    D#
Bukan maksud ku membuatmu terluka

G#         D#    Fm            D#
Telah ku janjikan kan slalu menyayangimu
G#       D#    Fm               D#
Telah ku janjikan kan memuatmu bahagia
          C#               D#
Tapi ku mohon jangan kau menangis
        C#                 D#          G#   D#
Ku tak ingin kau sakit dan terluka karena cinta

[REFF]
      G#               D#
Aku mohon kembali padaku
       Fm             Cm
Aku rindu saat-saat kita dulu
         C#          G#
Ku bernyanyi kau disampingku
          D#
Tersipu malu 

         G#              D#
Dan ku ingin kau slalu disampingku
        Fm                Cm
Temani aku saat ku merasa rindu
         C#      G#        D#
Aku tak ingin bila kau pergi dariku
               G#
Dan tinggalkan ku

[MELODI]
G# D# Fm Cm
C# G# D# G#

          D#   Fm          D#
Telah ku janjikan kan slalu menyayangimu

[REFF]
      G#               D#
Aku mohon kembali padaku
       Fm             Cm
Aku rindu saat-saat kita dulu
         C#          G#
Ku bernyanyi kau disampingku
          D#
Tersipu malu

         G#              D#
Dan ku ingin kau slalu disampingku
        Fm                Cm
Temani aku saat ku merasa rindu
         C#      G#        D#
Aku tak ingin bila kau pergi dariku
               G#
Dan tinggalkan ku

[MELODI]
G# D# Fm Cm
C# G# D# F

[REFF]
      A#             F
Aku mohon kembali padaku
      Gm            Dm
Aku rindu saat-saat kita dulu
          D#         A#
Ku bernyanyi kau disampingku
         F
Tersipu malu 

         A#               F
Dan ku ingin kau slalu disampingku
         Gm               Dm
Temani aku saat ku merasa rindu
          D#       A#         F
Aku tak ingin bila kau pergi dariku
               A#
Dan tinggalkan ku"
17,Nol Dp,Nol Dp Putu Sintya Dewi,"G
Putu Sintya Dewi
          Bm
Pirengan beli megending
      C
Apang putu nawang
           G
Sujati keneh beline

G
Putu Sintya Dewi
          Bm
Trime tresnan beline
         C
Apang beli bagia
          D                         G
Side ngelahang ragan Putu Sintya Dewi

[INTRO]
   G Bm C D

G                           C
Putu bajang jegeg uling kampung kintemani
         D                      G
Sebilang peteng state nongos di ipian beli
     G                       C
Makelo sube metanem dini di hatin beli
     D                  G
Rase sayang beline ken adi

Am                   Bm
Nanging sbilang beli bbm adi
        C            D     G
State jutek tur sing taen peduli
Am                  Bm
Ngaenang beli makin penasaran
         C           D    G
Dot saje beli ngelahang adi

G
Putu Sintya Dewi
          Bm
Pirengan beli megending
      C
Apang putu nawang
           G
Sujati keneh beline

G
Putu Sintya Dewi
          Bm
Trime tresnan beline
         C
Apang beli bagia
          D                         G
Side ngelahang ragan Putu Sintya Dewi

[MELODI]
   G Bm C G
   G Bm C D (2x)

Am                   Bm
Nanging sbilang beli bbm adi
        C            D     G
State jutek tur sing taen peduli
Am                  Bm
Ngaenang beli makin penasaran
         C           D    G
Dot saje beli ngelahang adi

G
Putu Sintya Dewi
          Bm
Pirengan beli megending
      C
Apang putu nawang
           G
Sujati keneh beline

G
Putu Sintya Dewi
          Bm
Trime tresnan beline
         C
Apang beli bagia
          D                         G
Side ngelahang ragan Putu Sintya Dewi

G
Putu Sintya Dewi
          Bm
Pirengan beli megending
      C
Apang putu nawang
           G
Sujati keneh beline

G
Putu Sintya Dewi
          Bm
Trime tresnan beline
         C
Apang beli bagia
          D                         G
Side ngelahang ragan Putu Sintya Dewi

[MELODI]
  G Bm C D G"
103,Bintang Band,Bintang Band Satya,"G
Adi nakal beli nu nyayangin
Em
Adi selingkuh beli nu nyayangin
C
Adi sing taen nepatin janji
D
Beli masih nu nyayangin

G
Sing ada keneh beli megatin
Em
Sing ada keneh beli naduanin
C
Yadiastun solah adine
D
Suba keliwat bates

G
Beli satya teken janjin iraga
Em
Dugas mara metunangan
C
Lakar nyaga tresna
D
Apang tusing mepalasang

G
Adi masih ngorang lakar satya
Em
Milu masih nyaga tresna
C
Yadiastun ada anak muani
D
Ane luwungan teken beli


[REFF]
G                            Em
Beli satya adi… Satya kanti mati
C                                         
Dumogi adi bisa ngubah sikap
D
adi ne cara ipidan

G                             Em
Beli satya adi… Satya kanti mati
C
Dumogi Ida Sang Hyang Widhi 
D                             G
ngicenin Iraga satya kanti mati

[Intro] 
G Em C D (2x)

G
Adi nakal beli nu nyayangin
Em
Adi selingkuh beli nu nyayangin
C
Adi sing taen nepatin janji
D
Beli masih nu nyayangin

G
Sing ada keneh beli megatin
Em
Sing ada keneh beli naduanin
C
Yadiastun solah adine
D
Suba keliwat bates

G
Beli satya teken janjin iraga
Em
Dugas mara metunangan
C
Lakar nyaga tresna
D
Apang tusing mepalasang

G
Adi masih ngorang lakar satya
Em
Milu masih nyaga tresna
C
Yadiastun ada anak muani
D
Ane luwungan teken beli


[REFF]
G                            Em
Beli satya adi… Satya kanti mati
C                                         
Dumogi adi bisa ngubah sikap
D
adi ne cara ne pidan

G                             Em
Beli satya adi… Satya kanti mati
C
Dumogi Ida Sang Hyang Widhi 
D                             G
ngicenin Iraga satya kanti mati

      Em C D
Kanti mati...

                   G Em C D
Satya kanti mati... uoo..oo

G
Beli nu satya teken adi
Em
Satya beline kanti mati
C
Dumogi Ida Sang Hyang Widhi
D
Ngicenin iraga satya

G
Beli nu satya teken adi
Em
Satya beline kanti mati
C
Dumogi Ida Sang Hyang Widhi
D
Ngicenin iraga satya"
4,Motifora,Motifora Hitam Putih,"G F
Hidup sing slama ne makenyem
D#m D
sing selama ne irage liang
G F
pasti ade yeh peningalan

D#m D
Manimpalin pejalan irage
G F
Krane gidup to mapiteh
D#m D
Ane duur bise dadi beten

[REFF]

Bb F                        G D
Hitam Putih hidup rage ento tusing dadi palasang
Bb F                          G D#
Patuh teken lemah peteng keto mase sedih ngajak liang

[MUSIK]

G F
Hidup sing selamane sedih
D#m D
Sing selamane lakar pedih
G F
Pasti lakar ade ne makenyem

D#m D
Manimpalin pejalan irage
G F
Krane hidup perjuangan
D#m D
Mejalan tetep mejalan

[REFF]

Bb F                        G D
Hitam Putih hidup rage ento tusing dadi palasang
Bb F                          G D#
Patuh teken lemah peteng keto mase sedih ngajak liang

G F D#                     F G F D#
De je bes sanget ngenehang unduk anak liu ne lebih keweh
G F D#                        F G F D#
Jalan je jani tetep bersyukur matur suksma ring
F
Shang hyank widhi

[MUSIK]

[REFF 3x]

Bb F                        G D
Hitam Putih hidup rage ento tusing dadi palasang
Bb F                          G D#
Patuh teken lemah peteng keto mase sedih ngajak liang

[MUSIK]"
6,Lolot,Lolot Ulian Punyah,"G   D    Em       Bm       C       D          G  D
Ulian punyah adi megatang tresnane kapining beli

G   D    Em          Bm       C    D         G  D
Ulian punyah   adi mengalahin beli hidup pedidi


[INTRO]
  G D Em Bm C D G D (2x)

G         D          Em
Beli nu demen ngalih timpal
Bm          C
Pakedek pakenyung
      D        G  D
Sambilang matuakan

G         D        Em
Yadiastun beli mamunyah
 Bm          C
Ngelimurang manah
      D      G   D
Ngawe kenehe liang

[REFF]
 
G   D    Em       Bm       C       D         G   D
Ulian punyah adi megatang tresnane kapining beli

G   D     Em       Bm       C    D        G  D
Ulian punyah adi mengalahin beli hidup pedidi

G            D       Em
Katimbang mangkin idup beli
 Bm         C
Kadi ye i bebek
      D        G  D
State ngangonang adi

G           D         C
Rarisang mangkin ragan adi
 Bm           C
Matilar ring beli
      D       G  D
Rereh tetujon adi

[MELODI]
   Am F Am F C D C D

[REFF] [4x]

G   D    Em       Bm       C       D         G   D
Ulian punyah adi megatang tresnane kapining beli

G   D     Em       Bm       C    D        G  D
Ulian punyah adi mengalahin beli hidup pedidi

G  D       G
Ulian punyah.."
86,Yoganata,Yoganata Ade Ne Kuang,"G     G/F#   Em        D         C
Indahnya bintang telah tertutupi hitam 
Cm         G  D
gelapnya malam
G    G/F#  Em
Eloknya bulan
     D          C     Cm       G  D
telah tertutupi hitam pekatnya awan

C                 Bm
Sepi kerasa hidup beline dini
 C                       D
Kerasa gumi tanpa matan ai

[REFF]

        G             Bm
Ada ne kuang di hidup beli
         C               D
Semenjak adi sing ada di sisin beli
      G              Bm
Ada ne kuang di hidup beli
          C             D
Semenjak adi sing ada di samping beli

G    G/F#     Em       D         C
Indahnya bintang telah tertutupi hitam 
Cm         G  D
gelapnya malam
G  G/F#   Em
Eloknya bulan 
     D          C     Cm        G  D
telah tertutupi hitam pekatnya awan

C                  Bm
Sepi kerasa hidup tiange dini
C                       D
Kerasa gumi tanpa matan ai

       G              Bm
Ada ne kuang di hidup tiang
          C               D
Semenjak beli sing ada di sisin tiang
      G              Bm
Ada ne kuang di hidup tiang
          C              D
Semenjak beli sing ada di samping tiang

       C
Dijake adi jani ngoyong
                       G
Apa enu inget ngajak ragan beli
         C
Tusingke beli nawang
                            D
Tiang seken- seken tresna ngajak beli

Em   Bm   C    G    D
Hu.. hu.. hu.. hu.. hu..
Em   Bm   C    G    D
Hu.. hu.. hu.. hu.. hu..

G    G/F#     Em       D         C
Indahnya bintang telah tertutupi hitam 
Cm         G  D
gelapnya malam
G   G/F#   Em      D         C
Eloknya bulan telah tertutupi hitam 
Cm        G  D
pekatnya awan

C                 Bm
Sepi kerasa hidup beline dini
 C                       D
Kerasa gumi tanpa matan ai

       G             Bm
Ada ne kuang di hidup beli
         C               D 
Semenjak adi sing ada di sisin beli
      G               Bm
Ada ne kuang di hidup tiang
         C               D
Semenjak beli sing ada di samping tiang

       C 
Dijake beli jani ngoyong
                      G
Apa enu inget ngajak ragan tiang ho
        C
Tusingke adi nawang
                           G
Beli seken- seken tresna ngajak adi

        C
Dija ke adi jani ngoyong
                      G
Apa enu inget ngajak ragan beli
          C
Tusing ke beli nawang
                            D       G
Tiang seken- seken tresna ngajak beli"
